Timestamp	Speed (kmph)	Throttle	Steering	Brake	Gear	ImageName
1584734827140	13	0.0000	0.0000	0.0000	0	img_186_1584734827140.png
1584734827143	12	0.0000	0.0000	0.0000	0	img_187_1584734827143.png
1584734827144	11	0.0000	0.0000	0.0000	0	img_188_1584734827144.png
1584734827145	10	0.0000	0.0000	0.0000	0	img_189_1584734827145.png
1584734827149	9	0.0000	0.0000	0.0000	0	img_190_1584734827149.png
1584734827150	9	0.0000	0.0000	0.0000	0	img_191_1584734827150.png
1584734827154	8	0.0000	0.0000	0.0000	0	img_192_1584734827154.png
1584734827156	8	0.0000	0.0000	0.0000	0	img_193_1584734827156.png
1584734827658	7	0.0000	0.0000	0.0000	0	img_194_1584734827658.png
1584734827659	7	0.0000	0.0000	0.0000	0	img_195_1584734827659.png
1584734827661	7	0.0000	0.0000	0.0000	0	img_196_1584734827661.png
1584734827663	6	0.0000	0.0000	0.0000	0	img_197_1584734827663.png
1584734827667	6	0.0000	0.0000	0.0000	0	img_198_1584734827667.png
1584734827671	6	0.0000	0.0000	0.0000	0	img_199_1584734827671.png
1584734827673	6	0.0000	0.0000	0.0000	0	img_200_1584734827673.png
1584734827675	6	0.0000	0.0000	0.0000	0	img_201_1584734827675.png
1584734827676	5	0.0000	0.0000	0.0000	0	img_202_1584734827676.png
1584734828178	5	0.0000	0.0000	0.0000	0	img_203_1584734828178.png
1584734828180	5	0.0000	0.0000	0.0000	0	img_204_1584734828180.png
1584734828181	5	0.0000	0.0000	0.0000	0	img_205_1584734828181.png
1584734828182	5	0.0000	0.0000	0.0000	0	img_206_1584734828182.png
1584734828183	5	0.0000	0.0000	0.0000	0	img_207_1584734828183.png
1584734828185	5	0.0000	0.0000	0.0000	0	img_208_1584734828185.png
1584734828186	5	0.0000	0.0000	0.0000	0	img_209_1584734828186.png
1584734828187	5	0.0000	0.0000	0.0000	0	img_210_1584734828187.png
1584734828689	5	0.0000	0.0000	0.0000	0	img_211_1584734828689.png
1584734828691	5	0.0000	0.0000	0.0000	0	img_212_1584734828691.png
1584734828693	5	0.0000	0.0000	0.0000	0	img_213_1584734828693.png
1584734828695	5	0.0000	0.0000	0.0000	0	img_214_1584734828695.png
1584734828696	5	0.0000	0.0000	0.0000	0	img_215_1584734828696.png
1584734828698	5	0.0000	0.0000	0.0000	0	img_216_1584734828698.png
1584734828701	5	0.0000	0.0000	0.0000	0	img_217_1584734828701.png
1584734828703	5	0.0000	0.0000	0.0000	0	img_218_1584734828703.png
1584734828706	5	0.0000	0.0000	0.0000	0	img_219_1584734828706.png
